bird_id,site,dialect,habitat,age,weight,wing
BS.BK,LODU,SF,Urban,SY,29.5,68
BS.KR,ABLA,McClure,Rural,ASY,31,71
BS.OW,ABLA,McClure,Rural,SY,29,68
BS.WM,FWSC,SF,Urban,SY,28.5,69
BW.ES,LAME,SF_LM,Urban,ASY,29.5,72
ES.BR,LAME,SF_LM,Urban,ASY,28.5,71
ES.WW,BATW,SF,Urban,SY,29.5,71
ES.YM,FWSC,SF,Urban,SY,27.5,66
KS.RK,COMM,Clear,Rural,ASY,32.5,75
KS.WB,FOFU,SF_LM,Urban,SY,28.5,67
MS.OR,COMM,Clear,Rural,ASY,31.5,76
OS.MK,COMM,Clear,Rural,ASY,32,70
OS.MR,COMM,Clear,Rural,SY,30,69
OS.WE,BATW,SF,Urban,ASY,28.5,72
OS.WK,COMM,Clear,Rural,SY,30.5,70
OS.WR,ABLA,McClure,Rural,ASY,32,72
RS.BO,ABLA,McClure,Rural,ASY,31,72
RS.MB,COMM,Clear,Rural,ASY,33,72
S.EEO,COMM,Clear,Rural,ASY,31,74
S.EKW,COMM,Clear,Rural,ASY,30,74
S.EYM,FOFU,SF_LM,Urban,SY,32,71
S.MKR,LODU,SF,Urban,ASY,30.5,72
S.OBO,COMM,Clear,Rural,SY,30.5,69
S.OEW,LODU,SF,Urban,ASY,29,74
S.RMM,LODU,SF,Urban,SY,31.5,74
S.RMO,COMM,Clear,Rural,SY,31.5,72
S.RRO,FOFU,SF_LM,Urban,ASY,31,73
S.WOW,BATW,SF,Urban,ASY,31,70
S.YBO,FWSC,SF,Urban,ASY,29,72
S.YWW,COMM,Clear,Rural,ASY,31.5,72
WS.KO,BATW,SF,Urban,SY,27,69
WS.MB,FOFU,SF_LM,Urban,ASY,30,69
WS.RO,ABLA,McClure,Rural,ASY,31.5,70
