bird_id,area_75,LAF90,comm_distance,comm_distance_sd,comm_distance_max,comm_distance_min,song_count,body_condition,age,habitat,site,dialect
BS.BK,2167.730577,37.57,22.303714285714285,5.67764052267858,31.767,17.107,7,30.34373917,SY,Urban,LODU,SF
BS.KR,1593.94042,30.15,64.05,NA,64.05,64.05,1,31.02517493,ASY,Rural,ABLA,McClure
BS.OW,5428.78584,29.35,28.99,NA,28.99,28.99,1,29.82943851,SY,Rural,ABLA,McClure
BS.WM,755.2267998,51.03,3.954285714285714,0.7003058175506169,4.703,3.011,7,29.04489212,SY,Urban,FWSC,SF
BW.ES,1673.373763,42.37,25.928818181818183,1.879230045427213,29.132,23.424,11,29.26315558,ASY,Urban,LAME,SF_LM
ES.BR,5041.788019,44.7,7.478666666666666,7.071463097077813,15.644,3.363,3,28.5231447,ASY,Urban,LAME,SF_LM
ES.WW,965.5871828,42.5,21.72281818181818,4.75731709723415,27.632,10.961,11,29.52395679,SY,Urban,BATW,SF
ES.YM,370.2850967,42,25.33476923076923,4.791707440183268,33.12,17.422,13,28.82734742,SY,Urban,FWSC,SF
KS.WB,880.2509425,37.93,32.72366666666667,7.387003813003845,40.115,25.341,3,29.5919581,SY,Urban,FOFU,SF_LM
MS.OR,4657.742936,29.43,38.4691875,26.28828125792619,76.97,16.258,16,30.19349733,ASY,Rural,COMM,Clear
OS.MK,10094.646,29.1,51.764,11.706639284326364,61.891,35.49,4,32.31547829,ASY,Rural,COMM,Clear
OS.MR,3514.062024,23.8,81.83755555555555,23.725388090140438,105.907,24.241,9,30.57357065,SY,Rural,COMM,Clear
OS.WE,3460.186212,39.9,30.37853846153846,7.6342042110423955,40.125,16.914,13,28.27118421,ASY,Urban,BATW,SF
OS.WR,3164.294453,28.07,62.815,NA,62.815,62.815,1,31.74308402,ASY,Rural,ABLA,McClure
RS.BO,1164.861147,26.93,42.29933333333333,8.444743327459198,53.128,31.127,6,30.75111265,ASY,Rural,ABLA,McClure
RS.MB,9880.925692,25.47,78.04666666666667,79.77597618539892,170.098,29.001,3,32.7350554,ASY,Rural,COMM,Clear
S.EEO,4055.242283,26,26.62427272727273,5.338689091732335,37.965,16.561,11,30.22122294,ASY,Rural,COMM,Clear
S.EKW,9698.715787,27.6,81.52907692307693,32.15940353266713,148.857,12.157,13,29.24634478,ASY,Rural,COMM,Clear
S.EYM,6601.502422,39.85,71.997,29.530874809256833,118.63,42.7,5,32.02598703,SY,Urban,FOFU,SF_LM
S.MKR,1896.944903,41,5.641,1.6751617832316974,7.532,4.343,3,30.25512696,ASY,Urban,LODU,SF
S.OBO,7080.007157,26.93,77.27544444444445,20.37434443185296,120.701,53.912,9,31.08313016,SY,Rural,COMM,Clear
S.OEW,2990.022394,38.55,15.967333333333332,3.964364547650312,19.165,9.25,6,28.271466620000002,ASY,Urban,LODU,SF
S.RMO,4699.443874,24.15,83.44933333333333,25.87423848798904,106.628,55.534,3,31.24709833,SY,Rural,COMM,Clear
S.WOW,905.3329049,38.97,16.22209090909091,3.1752803483958845,22.589,11.083,11,31.3056196,ASY,Urban,BATW,SF
S.YBO,2874.379516,49.2,6.8235882352941175,1.8569314425559553,9.713,3.047,17,28.7671699,ASY,Urban,FWSC,SF
S.YWW,5699.199968,18.87,51.8245,6.155364530228895,56.177,47.472,2,31.24709833,ASY,Rural,COMM,Clear
WS.KO,1294.007452,45.77,3.12,0.37193816690412385,3.383,2.857,2,27.51621359,SY,Urban,BATW,SF
WS.MB,3037.664004,39.33,13.192142857142857,6.2668197524361435,24.563,6.151,7,30.57357065,ASY,Urban,FOFU,SF_LM
